"Invoice ID","Order ID","Invoice Date","Due Date","Tax","Shipping","Amount Due"
"5","31","2006-03-22 16:08:59","","0.0000","0.0000","0.0000"
"6","32","2006-03-22 16:10:27","","0.0000","0.0000","0.0000"
"7","40","2006-03-24 10:41:41","","0.0000","0.0000","0.0000"
"8","39","2006-03-24 10:55:46","","0.0000","0.0000","0.0000"
"9","38","2006-03-24 10:56:57","","0.0000","0.0000","0.0000"
"10","37","2006-03-24 10:57:38","","0.0000","0.0000","0.0000"
"11","36","2006-03-24 10:58:40","","0.0000","0.0000","0.0000"
"12","35","2006-03-24 10:59:41","","0.0000","0.0000","0.0000"
"13","34","2006-03-24 11:00:55","","0.0000","0.0000","0.0000"
"14","33","2006-03-24 11:02:02","","0.0000","0.0000","0.0000"
"15","30","2006-03-24 11:03:00","","0.0000","0.0000","0.0000"
"16","56","2006-04-03 13:50:15","","0.0000","0.0000","0.0000"
"17","55","2006-04-04 11:05:04","","0.0000","0.0000","0.0000"
"18","51","2006-04-04 11:06:13","","0.0000","0.0000","0.0000"
"19","50","2006-04-04 11:06:56","","0.0000","0.0000","0.0000"
"20","48","2006-04-04 11:07:37","","0.0000","0.0000","0.0000"
"21","47","2006-04-04 11:08:14","","0.0000","0.0000","0.0000"
"22","46","2006-04-04 11:08:49","","0.0000","0.0000","0.0000"
"23","45","2006-04-04 11:09:24","","0.0000","0.0000","0.0000"
"24","79","2006-04-04 11:35:54","","0.0000","0.0000","0.0000"
"25","78","2006-04-04 11:36:21","","0.0000","0.0000","0.0000"
"26","77","2006-04-04 11:36:47","","0.0000","0.0000","0.0000"
"27","76","2006-04-04 11:37:09","","0.0000","0.0000","0.0000"
"28","75","2006-04-04 11:37:49","","0.0000","0.0000","0.0000"
"29","74","2006-04-04 11:38:11","","0.0000","0.0000","0.0000"
"30","73","2006-04-04 11:38:32","","0.0000","0.0000","0.0000"
"31","72","2006-04-04 11:38:53","","0.0000","0.0000","0.0000"
"32","71","2006-04-04 11:39:29","","0.0000","0.0000","0.0000"
"33","70","2006-04-04 11:39:53","","0.0000","0.0000","0.0000"
"34","69","2006-04-04 11:40:16","","0.0000","0.0000","0.0000"
"35","67","2006-04-04 11:40:38","","0.0000","0.0000","0.0000"
"36","42","2006-04-04 11:41:14","","0.0000","0.0000","0.0000"
"37","60","2006-04-04 11:41:45","","0.0000","0.0000","0.0000"
"38","63","2006-04-04 11:42:26","","0.0000","0.0000","0.0000"
"39","58","2006-04-04 11:43:08","","0.0000","0.0000","0.0000"
